DATE,steps,weight_kg,total_burned_kcal,calories_eaten,active_kcal,basal_kcal
2023-10-15,20842.0,,3107.35399999999,,796.5869999999992,2310.7669999999907
2023-10-16,5761.0,,2636.6209999999937,,478.10000000000014,2158.5209999999934
2023-10-17,16413.0,,2815.1869999999963,,549.3099999999989,2265.876999999997
2023-10-18,23665.0,96.694,3384.527000000001,,1098.472000000001,2286.0550000000003
2023-10-19,20455.0,96.243,3386.9789999999966,,1133.2919999999997,2253.686999999997
2023-10-20,18130.0,96.908,3378.267999999999,,970.6829999999997,2407.585
2023-10-21,27786.0,94.567,3820.031999999997,,1404.6020000000017,2415.429999999995
2023-10-22,20495.0,93.369,2378.6490000000017,,273.696,2104.953000000002
2023-10-23,21983.0,,3206.2729999999992,,847.9069999999996,2358.3659999999995
2023-10-24,23671.0,,3488.790999999999,,1247.0269999999996,2241.763999999999
2023-10-25,17323.0,97.152,3062.002,,731.0589999999996,2330.943
2023-10-26,34009.0,96.571,3519.3469999999456,,1142.7089999999994,2376.6379999999463
2023-10-27,5796.0,95.409,2797.5789999999997,,439.2609999999999,2358.3179999999998
2023-10-28,18830.0,94.863,2864.1240000000003,,609.2609999999996,2254.8630000000007
2023-10-29,4135.0,95.646,2497.788,,317.872,2179.916
2023-10-30,23415.0,97.981,3737.671999999981,,1376.5569999999998,2361.1149999999807
2023-10-31,25484.0,95.298,3626.897,,1231.4520000000002,2395.445
2023-11-01,15111.0,95.356,2783.7620000000006,,540.4579999999999,2243.3040000000005
2023-11-02,31310.0,97.243,2940.198,,757.6869999999999,2182.511
2023-11-03,32262.0,97.717,3888.600999999998,,1517.7550000000003,2370.8459999999977
2023-11-04,22540.0,97.103,3500.3910000000005,,1153.3669999999993,2347.0240000000013
2023-11-05,17704.0,97.385,2852.99,,782.4949999999999,2070.495
2023-11-06,3969.0,99.075,2573.570999999999,,331.03099999999944,2242.5399999999995
2023-11-07,15898.0,98.159,3185.480000000001,,779.5839999999998,2405.896000000001
2023-11-08,14899.0,97.641,3044.652999999998,,707.8789999999991,2336.773999999999
2023-11-09,44283.0,,4347.730000000004,,1833.9930000000004,2513.737000000004
2023-11-10,28388.0,94.345,3971.942999999991,,1472.6119999999985,2499.3309999999924
2023-11-11,35632.0,96.088,3459.826000000001,,1182.1709999999998,2277.655000000001
2023-11-12,40250.0,96.64,3493.493000000003,,1313.2510000000009,2180.2420000000025
2023-11-13,33236.0,98.082,4088.752999999994,,1625.5109999999995,2463.2419999999943
2023-11-14,15621.0,97.117,5154.788999999999,,847.6809999999996,4307.107999999999
2023-11-15,17934.0,97.019,5119.925000000004,,1009.112,4110.813000000004
2023-11-16,30793.0,96.25,5962.345000000001,,1662.297,4300.048000000001
2023-11-17,24781.0,95.661,5683.891999999996,,1373.0230000000006,4310.868999999995
2023-11-18,27732.0,,5646.763999999999,,1236.9590000000003,4409.804999999999
2023-11-19,20995.0,,4959.299,,835.2119999999996,4124.087
2023-11-20,12651.0,,4894.288000000001,,612.1980000000011,4282.09
2023-11-21,14388.0,,3211.1470000000004,,886.1229999999999,2325.0240000000003
2023-11-22,11126.0,,3354.42,,1010.4660000000003,2343.954
2023-11-23,25835.0,,3143.9600000000028,,829.1740000000016,2314.786000000001
2023-11-24,34350.0,,3543.94,,1164.559,2379.381
2023-11-25,57864.0,,4779.084000000003,,2340.044,2439.040000000003
2023-11-26,12431.0,,2417.977999999999,,351.24700000000007,2066.7309999999998
2023-11-27,8564.0,,3125.5019999999977,,785.1199999999998,2340.381999999998
2023-11-28,44739.0,,4411.617,,2005.574,2406.043
2023-11-29,59106.0,,4492.290999999998,,2113.7530000000006,2378.5379999999977
2023-11-30,50844.0,,4363.058999999998,,1852.509,2510.5499999999984
2023-12-01,39989.0,,4365.571000000002,,1893.1980000000008,2472.373000000001
2023-12-02,66518.0,,4550.3240000000005,,2103.669000000002,2446.654999999999
2023-12-03,12591.0,95.079,2760.5569999999984,,628.822,2131.7349999999983
2023-12-04,33503.0,94.089,3993.3920000000353,,1481.744999999999,2511.6470000000363
2023-12-05,30774.0,92.806,3460.1620000000007,,1134.572,2325.5900000000006
2023-12-06,29611.0,92.765,4029.481999999977,,1656.9220000000023,2372.5599999999745
2023-12-07,28015.0,91.852,3526.4109999999964,,1259.0370000000005,2267.373999999996
